2.6675 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
8.1141 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
9.4578 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D52FA2CE80>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001D52FA82518>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.4578 	EXP 	window1: recordFrameIntervals = False
9.6239 	EXP 	window1: recordFrameIntervals = True
9.8074 	EXP 	window1: recordFrameIntervals = False
9.8596 	EXP 	Created Fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
9.8746 	EXP 	Created Stimulus = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Stimulus', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Bodziec ', units='height', win=Window(...), wrapWidth=1)
9.8749 	EXP 	Created test_mean = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='test_mean', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='height', win=Window(...), wrapWidth=1)
9.8766 	EXP 	Created Fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
9.9074 	EXP 	Created Bodziec = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Bodziec', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
9.9396 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
9.9399 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
9.9401 	EXP 	New trial (rep=0, index=0): None
9.9453 	EXP 	Fixation: autoDraw = True
10.9568 	EXP 	Fixation: autoDraw = False
10.9568 	EXP 	Stimulus: autoDraw = True
11.1073 	DATA 	Keypress: space
11.1084 	EXP 	New trial (rep=1, index=0): None
11.1236 	EXP 	Stimulus: autoDraw = False
11.1236 	EXP 	Fixation: autoDraw = True
11.8571 	DATA 	Keypress: space
12.1232 	EXP 	Fixation: autoDraw = False
12.1232 	EXP 	Fixation: autoDraw = False
12.1232 	EXP 	Stimulus: autoDraw = True
12.9068 	DATA 	Keypress: space
12.9076 	EXP 	New trial (rep=2, index=0): None
12.9230 	EXP 	Stimulus: autoDraw = False
12.9230 	EXP 	Fixation: autoDraw = True
13.9228 	EXP 	Fixation: autoDraw = False
13.9228 	EXP 	Fixation: autoDraw = False
13.9228 	EXP 	Stimulus: autoDraw = True
14.2064 	DATA 	Keypress: space
14.2072 	EXP 	New trial (rep=3, index=0): None
14.2227 	EXP 	Stimulus: autoDraw = False
14.2227 	EXP 	Fixation: autoDraw = True
15.2226 	EXP 	Fixation: autoDraw = False
15.2226 	EXP 	Fixation: autoDraw = False
15.2226 	EXP 	Stimulus: autoDraw = True
15.5396 	DATA 	Keypress: space
15.5404 	EXP 	New trial (rep=4, index=0): None
15.5559 	EXP 	Stimulus: autoDraw = False
15.5559 	EXP 	Fixation: autoDraw = True
16.5555 	EXP 	Fixation: autoDraw = False
16.5555 	EXP 	Fixation: autoDraw = False
16.5555 	EXP 	Stimulus: autoDraw = True
16.8724 	DATA 	Keypress: space
16.9027 	EXP 	window1: mouseVisible = True
