test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,6.678846899999826,None,7.690494599999965,None,space,0.4003424000002269,7.690494599999965,None,1,001,2019_Jul_03_0920,untitled,3.1.2,60.00772899551331,
1,0,1,0,8.107073199999832,None,9.106924100000015,None,space,0.41673919999993814,9.106924100000015,None,1,001,2019_Jul_03_0920,untitled,3.1.2,60.00772899551331,
2,0,2,0,9.539984399999867,None,10.539731599999868,None,space,0.36682780000001003,10.539731599999868,None,1,001,2019_Jul_03_0920,untitled,3.1.2,60.00772899551331,
3,0,3,0,10.923122700000022,None,11.922813000000133,None,space,0.3668428999999378,11.922813000000133,None,1,001,2019_Jul_03_0920,untitled,3.1.2,60.00772899551331,
4,0,4,0,12.305983899999774,None,13.305773900000077,None,space,0.400466100000358,13.305773900000077,None,1,001,2019_Jul_03_0920,untitled,3.1.2,60.00772899551331,
