test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.started,test_resp.stopped,test_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2.7695029999995313,None,3.7792086000008567,4.778964299999643,None,3.7792086000008567,None,,,001,2019_Jul_03_1103,MIT,3.1.2,60.027216339886664,
1,0,1,0,5.162403000000268,None,6.162053399999422,7.161775900000066,None,6.162053399999422,None,,,001,2019_Jul_03_1103,MIT,3.1.2,60.027216339886664,
2,0,2,0,7.546471999999994,None,8.544879299999593,9.54466979999961,None,8.544879299999593,None,,,001,2019_Jul_03_1103,MIT,3.1.2,60.027216339886664,
3,0,3,0,9.92767289999938,None,10.927556799999365,11.92732050000086,None,10.927556799999365,None,,,001,2019_Jul_03_1103,MIT,3.1.2,60.027216339886664,
4,0,4,0,12.310501399999339,None,13.310254899999563,None,space,13.310254899999563,None,0.15025709999827086,,001,2019_Jul_03_1103,MIT,3.1.2,60.027216339886664,
