6.3742 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
11.6049 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
12.7049 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001DAFEECE630>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001DAFF721C88>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.7050 	EXP 	window1: recordFrameIntervals = False
12.8711 	EXP 	window1: recordFrameIntervals = True
13.0546 	EXP 	window1: recordFrameIntervals = False
13.1655 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
13.1711 	EXP 	Created feedback = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='feedback', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='%rt', units='height', win=Window(...), wrapWidth=1)
13.1720 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
13.1723 	EXP 	New trial (rep=0, index=0): None
13.1796 	EXP 	text: autoDraw = True
14.1873 	EXP 	text: autoDraw = False
15.8206 	DATA 	Keypress: space
17.2032 	EXP 	feedback: autoDraw = True
20.1705 	EXP 	New trial (rep=1, index=0): None
20.1859 	EXP 	feedback: autoDraw = False
20.1859 	EXP 	text: autoDraw = False
20.1859 	EXP 	feedback: autoDraw = False
20.1859 	EXP 	text: autoDraw = True
20.7529 	DATA 	Keypress: space
21.1857 	EXP 	text: autoDraw = False
24.2016 	EXP 	feedback: autoDraw = True
24.3852 	DATA 	Keypress: space
27.1685 	EXP 	New trial (rep=2, index=0): None
27.1842 	EXP 	feedback: autoDraw = False
27.1842 	EXP 	text: autoDraw = False
27.1842 	EXP 	feedback: autoDraw = False
27.1842 	EXP 	text: autoDraw = True
27.8677 	DATA 	Keypress: space
28.1840 	EXP 	text: autoDraw = False
31.2000 	EXP 	feedback: autoDraw = True
31.5501 	DATA 	Keypress: space
34.1668 	EXP 	New trial (rep=3, index=0): None
34.1826 	EXP 	feedback: autoDraw = False
34.1826 	EXP 	text: autoDraw = False
34.1826 	EXP 	feedback: autoDraw = False
34.1826 	EXP 	text: autoDraw = True
34.9333 	DATA 	Keypress: space
35.1823 	EXP 	text: autoDraw = False
38.1983 	EXP 	feedback: autoDraw = True
38.9824 	DATA 	Keypress: space
41.1652 	EXP 	New trial (rep=4, index=0): None
41.1808 	EXP 	feedback: autoDraw = False
41.1808 	EXP 	text: autoDraw = False
41.1808 	EXP 	feedback: autoDraw = False
41.1808 	EXP 	text: autoDraw = True
42.1807 	EXP 	text: autoDraw = False
42.8641 	DATA 	Keypress: space
45.1966 	EXP 	feedback: autoDraw = True
45.9800 	DATA 	Keypress: space
47.7463 	DATA 	Keypress: space
48.1792 	EXP 	feedback: autoDraw = False
48.1792 	EXP 	text: autoDraw = False
48.1792 	EXP 	feedback: autoDraw = False
48.2236 	EXP 	window1: mouseVisible = True
