test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trial_block_1.thisRepN,trial_block_1.thisTrialN,trial_block_1.thisN,trial_block_1.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,Inst_2.started,Inst_2.stopped,key_resp_inst_2.keys,key_resp_inst_2.rt,key_resp_inst_2.started,key_resp_inst_2.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,End.started,End.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.314706599998317,None,space,0.5076752999993914,8.314706599998317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
0,0,0,0,,,,,,,,,,,8.838689399999566,None,10.85469860000012,None,11.338035799999489,None,space,0.30038629999762634,11.338035799999489,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
1,0,1,0,,,,,,,,,,,,,12.671180499997718,None,13.154171899997891,None,space,0.31756919999679667,13.154171899997891,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
2,0,2,0,,,,,,,,,,,,,14.50383729999885,None,14.987036499998794,None,space,0.2669709000001603,14.987036499998794,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
3,0,3,0,,,,,,,,,,,,,16.28678129999753,None,16.770034099998156,None,space,0.3004365000015241,16.770034099998156,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
4,0,4,0,,,,,,,,,,,,,18.102974899997207,None,18.586170599999605,None,space,0.25077999999848544,18.586170599999605,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
5,0,5,0,,,,,,,,,,,,,19.869249399998807,None,20.35243999999875,None,space,0.28424740000264137,20.35243999999875,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
6,0,6,0,,,,,,,,,,,,,21.668839899997693,None,22.152547599998798,None,space,0.3165924000022642,22.152547599998798,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
7,0,7,0,,,,,,,,,,,,,23.501841799999966,None,23.984908899998118,None,space,0.4170490999968024,23.984908899998118,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
8,0,8,0,,,,,,,,,,,,,25.434538800000155,None,25.91784529999859,None,space,0.2334751000016695,25.91784529999859,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
9,0,9,0,,,,,,,,,,,,,27.184107699999004,None,27.667312399997172,None,space,0.33425160000115284,27.667312399997172,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,,,,,,,,,,,,,,,,,,,,,29.03359730000011,None,space,1.133716899999854,29.03359730000011,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,0,0,0,0,,,,,,,,,31.19997019999937,None,,,,,,,,,,,,,31.683032599998114,None,space,0.30075270000088494,31.683032599998114,None,32.03882220000014,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,1,0,1,0,,,,,,,,,35.01556119999805,None,,,,,,,,,,,,,35.49909239999761,35.665413299997454,space,0.28361170000061975,35.49909239999761,None,35.8195143999983,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,2,0,2,0,,,,,,,,,38.79807879999862,None,,,,,,,,,,,,,39.2989224999983,None,space,0.21593700000084937,39.2989224999983,None,39.555158299997856,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,3,0,3,0,,,,,,,,,42.547122500000114,None,,,,,,,,,,,,,43.03046739999991,None,space,0.2669780000032915,43.03046739999991,None,43.33381329999975,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,4,0,4,0,,,,,,,,,46.329594399998314,None,,,,,,,,,,,,,46.81294549999802,None,space,0.23343740000200341,46.81294549999802,None,47.08319990000018,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,5,0,5,0,,,,,,,,,50.078688099998544,None,,,,,,,,,,,,,50.56191409999883,None,space,0.2170683000003919,50.56191409999883,None,50.817350799999986,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,6,0,6,0,,,,,,,,,53.81116999999722,None,,,,,,,,,,,,,54.29427740000028,54.444167099998594,space,0.3000696000017342,54.29427740000028,None,54.633187599996745,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,7,0,7,0,,,,,,,,,57.62685489999785,None,,,,,,,,,,,,,58.110089300000254,None,space,0.1836464000007254,58.110089300000254,None,58.33078019999812,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,8,0,8,0,,,,,,,,,61.32593879999695,None,,,,,,,,,,,,,61.80914709999706,None,space,0.11700529999870923,61.80914709999706,None,61.96313259999806,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,9,0,9,0,,,,,,,,,64.9584259000003,None,,,,,,,,,,,,,65.44173729999966,None,space,0.2503913000000466,65.44173729999966,None,65.72868329999983,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,10,0,10,0,,,,,,,,,68.72414740000022,None,,,,,,,,,,,,,69.20737860000008,69.44072499999675,space,0.2503839999990305,69.20737860000008,None,69.49451869999757,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,11,0,11,0,,,,,,,,,72.48996449999686,None,,,,,,,,,,,,,72.97309150000001,None,space,0.1503128000003926,72.97309150000001,None,73.16106319999744,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,12,0,12,0,,,,,,,,,76.155668899999,None,,,,,,,,,,,,,76.63956859999962,None,space,0.0827759000021615,76.63956859999962,None,76.75950719999673,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,13,0,13,0,,,,,,,,,79.75484119999965,None,,,,,,,,,,,,,80.23806219999824,None,space,0.21744290000060573,80.23806219999824,None,80.49316019999969,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,14,0,14,0,,,,,,,,,83.48728320000009,None,,,,,,,,,,,,,83.9708021999977,None,space,0.25036030000046594,83.9708021999977,None,84.25791549999849,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,15,0,15,0,,,,,,,,,87.25300579999748,None,,,,,,,,,,,,,87.73627009999836,87.93618879999849,space,0.20025560000067344,87.73627009999836,None,87.97318279999672,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,16,0,16,0,,,,,,,,,90.96878849999848,None,,,,,,,,,,,,,91.45215180000014,None,space,0.11714700000084122,91.45215180000014,None,91.60573349999686,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,17,0,17,0,,,,,,,,,94.60139519999939,None,,,,,,,,,,,,,95.08445719999872,None,space,0.21712050000132876,95.08445719999872,None,95.34050879999995,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,18,0,18,0,,,,,,,,,98.33364719999736,None,,,,,,,,,,,,,98.81691899999714,None,space,0.18372720000115805,98.81691899999714,None,99.03697509999984,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,19,0,19,0,,,,,,,,,102.03275839999696,None,,,,,,,,,,,,,102.51599579999674,None,space,0.100763200000074,102.51599579999674,None,102.65598379999938,None,,,,,,,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.64866879999681,None,space,0.9002908000002208,105.64866879999681,None,1,001,2019_Jul_03_1414,untitled,3.1.2,59.92394453036361,
