test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trial_block_1.thisRepN,trial_block_1.thisTrialN,trial_block_1.thisN,trial_block_1.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,Inst_2.started,Inst_2.stopped,key_resp_inst_2.keys,key_resp_inst_2.rt,key_resp_inst_2.started,key_resp_inst_2.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,6.582088799998019,None,space,0.534897200002888,6.582088799998019,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
0,0,0,0,,,,,,,,,,,7.133406099997956,None,9.149460500000714,None,9.633481900000334,None,space,0.28321169999981066,9.633481900000334,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
1,0,1,0,,,,,,,,,,,,,10.949147799998173,None,11.43246409999847,None,space,0.2503718999978446,11.43246409999847,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
2,0,2,0,,,,,,,,,,,,,12.7153244000001,None,13.198619700000563,None,space,0.23374849999891012,13.198619700000563,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
3,0,3,0,,,,,,,,,,,,,14.464962499998364,None,14.948104600000079,None,space,0.23352729999896837,14.948104600000079,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
4,0,4,0,,,,,,,,,,,,,16.21461629999976,None,16.69765389999884,None,space,0.6338489999980084,16.69765389999884,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
5,0,5,0,,,,,,,,,,,,,18.364022300000215,None,18.847177299998293,None,space,0.40024650000123074,18.847177299998293,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
6,0,6,0,,,,,,,,,,,,,20.28017759999784,None,20.763492699999915,None,space,0.2836028999990958,20.763492699999915,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
7,0,7,0,,,,,,,,,,,,,22.07967749999807,None,22.563244099997974,None,space,0.23341509999954724,22.563244099997974,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
8,0,8,0,,,,,,,,,,,,,23.829278799999884,None,24.312520600000425,None,space,0.23367990000042482,24.312520600000425,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
9,0,9,0,,,,,,,,,,,,,25.578852200000256,None,26.062439299999824,None,space,0.2501712999983283,26.062439299999824,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,,,,,,,,,,,,,,,,,,,,,27.345129199999064,None,space,1.1000720000010915,27.345129199999064,None,,,,,,,,,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,0,0,0,0,,,,,,,,,29.47793719999754,None,,,,,,,,,,,,,29.961251799999445,None,space,0.2837349000001268,29.961251799999445,None,30.361500499999238,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,1,0,1,0,,,,,,,,,33.27695329999915,None,,,,,,,,,,,,,33.760309599998436,33.943650199998956,space,0.20051750000129687,33.760309599998436,None,33.9975615000003,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,2,0,2,0,,,,,,,,,36.992952000000514,None,,,,,,,,,,,,,37.47602349999943,37.67595249999795,space,0.2671291000006022,37.47602349999943,None,37.77947289999793,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,3,0,3,0,,,,,,,,,40.775191699998686,None,,,,,,,,,,,,,41.25847729999805,None,space,0.28426739999849815,41.25847729999805,None,41.578629899999214,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,4,0,4,0,,,,,,,,,44.57447150000007,None,,,,,,,,,,,,,45.057526900000084,None,space,0.267199800000526,45.057526900000084,None,45.36122129999785,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,5,0,5,0,,,,,,,,,48.356702799999766,None,,,,,,,,,,,,,48.84023399999933,None,space,0.28357300000061514,48.84023399999933,None,49.16186779999771,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,6,0,6,0,,,,,,,,,52.15583219999826,None,,,,,,,,,,,,,52.63926159999755,None,space,0.20032220000211964,52.63926159999755,None,52.87632389999999,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,7,0,7,0,,,,,,,,,55.87168190000011,None,,,,,,,,,,,,,56.35488429999896,56.4881549999991,space,0.3836946000010357,56.35488429999896,None,56.77720419999969,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,8,0,8,0,,,,,,,,,59.77064509999764,None,,,,,,,,,,,,,60.25403730000107,60.40396300000066,space,0.31696500000180095,60.25403730000107,None,60.60726710000017,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,9,0,9,0,,,,,,,,,63.603140399998665,None,,,,,,,,,,,,,64.08627169999818,None,space,0.268012099997577,64.08627169999818,None,64.38873930000045,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,10,0,10,0,,,,,,,,,67.38547669999753,None,,,,,,,,,,,,,67.86869839999781,68.05203679999977,space,0.22195950000241282,67.86869839999781,None,68.1249601999989,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,11,0,11,0,,,,,,,,,71.1179181999978,None,,,,,,,,,,,,,71.60131329999786,71.75122139999803,space,0.26703599999746075,71.60131329999786,None,71.90467659999922,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,12,0,12,0,,,,,,,,,74.90046409999923,None,,,,,,,,,,,,,75.3836913999985,75.51684010000099,space,0.2503546000007191,75.3836913999985,None,75.67026319999786,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,13,0,13,0,,,,,,,,,78.6661482999989,None,,,,,,,,,,,,,79.1493573000007,79.34936349999771,space,0.2503969999997935,79.1493573000007,None,79.43606559999898,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,14,0,14,0,,,,,,,,,82.43197869999858,None,,,,,,,,,,,,,82.91566329999841,None,space,0.06660820000251988,82.91566329999841,None,83.01845139999932,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,15,0,15,0,,,,,,,,,86.01443310000104,None,,,,,,,,,,,,,86.49751639999886,86.84763569999996,space,0.5171687000001839,86.49751639999886,None,87.05306249999921,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,16,0,16,0,,,,,,,,,90.04671999999846,None,,,,,,,,,,,,,90.53001129999757,90.6301796000007,space,0.2337267000002612,90.53001129999757,None,90.80021789999955,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,17,0,17,0,,,,,,,,,93.795729999998,None,,,,,,,,,,,,,94.27902639999957,None,space,0.15046849999998813,94.27902639999957,None,94.4651152999977,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,18,0,18,0,,,,,,,,,97.46195079999961,None,,,,,,,,,,,,,97.9450044999976,None,space,0.2171306000018376,97.9450044999976,None,98.19812529999763,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
,,,,19,0,19,0,,,,,,,,,101.19408499999918,None,,,,,,,,,,,,,101.67724719999751,None,space,0.2003045999990718,101.67724719999751,None,101.91410049999831,None,1,001,2019_Jul_03_1408,untitled,3.1.2,59.96778530564879,
