test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trial_block_1.thisRepN,trial_block_1.thisTrialN,trial_block_1.thisN,trial_block_1.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,Inst_2.started,Inst_2.stopped,key_resp_inst_2.keys,key_resp_inst_2.rt,key_resp_inst_2.started,key_resp_inst_2.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,End.started,End.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,10,0,10,0,,,,,,,,,90.8234225999986,None,,,,,,,,,,,,,91.30723289999878,None,space,0.13321260000157054,91.30723289999878,None,91.48017739999705,None,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
,,,,11,0,11,0,,,,,,,,,94.47258109999893,None,,,,,,,,,,,,,94.9558724999988,None,space,0.11691920000157552,94.9558724999988,None,95.11036519999834,None,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
,,,,12,0,12,0,,,,,,,,,98.10526299999765,None,,,,,,,,,,,,,98.58841480000046,None,space,0.11717399999906775,98.58841480000046,None,98.74232940000002,None,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
,,,,13,0,13,0,,,,,,,,,101.73755189999792,None,,,,,,,,,,,,,102.22072539999863,102.354004599998,space,0.18420039999909932,102.22072539999863,None,102.44311000000016,None,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
,,,,14,0,14,0,,,,,,,,,105.43668839999737,None,,,,,,,,,,,,,105.91990379999697,None,space,0.18422620000274037,105.91990379999697,None,106.14301679999699,None,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
,,,,15,0,15,0,,,,,,,,,109.13574169999993,None,,,,,,,,,,,,,109.61906950000048,109.7690855999972,space,0.2335574999997334,109.61906950000048,None,109.89193439999872,None,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
,,,,16,0,16,0,,,,,,,,,112.88506479999705,None,,,,,,,,,,,,,113.36815790000037,None,space,0.18364279999877908,113.36815790000037,None,113.58959499999764,None,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
,,,,17,0,17,0,,,,,,,,,116.58398250000027,None,,,,,,,,,,,,,117.06715299999996,117.23378919999959,space,0.4836979000028805,117.06715299999996,None,117.58832880000045,None,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
,,,,18,0,18,0,,,,,,,,,120.58292900000015,None,,,,,,,,,,,,,121.06626109999706,121.31619750000027,space,0.2504918999984511,121.06626109999706,None,121.36213889999999,None,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
,,,,19,0,19,0,,,,,,,,,124.34900989999733,None,,,,,,,,,,,,,124.8319107999996,None,space,0.10055410000131815,124.8319107999996,None,124.96913459999996,None,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.96447519999856,None,space,2.34999610000159,127.96447519999856,None,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
