test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,test_mean.started,test_mean.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2.9872857999998814,None,3.9994086000006064,None,space,0.2843662999994194,3.9994086000006064,None,,,,,,,,,,,,001,2019_Jul_03_1058,MIT,3.1.2,59.942515128048754,
1,0,1,0,,,,,4.299374000000171,None,5.299061100000472,None,space,0.30023390000042127,5.299061100000472,None,,,,,,,,,,,,001,2019_Jul_03_1058,MIT,3.1.2,59.942515128048754,
2,0,2,0,,,,,5.615900800000418,None,6.6156677999997555,None,space,0.283476000000519,6.6156677999997555,None,,,,,,,,,,,,001,2019_Jul_03_1058,MIT,3.1.2,59.942515128048754,
3,0,3,0,,,,,6.9155313000001115,None,7.91525509999974,None,space,0.2505177000002732,7.91525509999974,None,,,,,,,,,,,,001,2019_Jul_03_1058,MIT,3.1.2,59.942515128048754,
4,0,4,0,,,,,8.181702200000473,None,9.18153650000022,None,space,0.2837657999998555,9.18153650000022,None,,,,,,,,,,,,001,2019_Jul_03_1058,MIT,3.1.2,59.942515128048754,
,,,,0,0,0,0,10.864504400000442,None,,,,,,,9.481522400000358,None,11.8644204000002,None,space,0.25028500000007625,11.8644204000002,None,12.153671799999756,None,,001,2019_Jul_03_1058,MIT,3.1.2,59.942515128048754,
,,,,1,0,1,0,14.13033970000015,None,,,,,,,,,15.130103299999973,None,space,0.8338751999999658,15.130103299999973,None,15.999656500000128,None,,001,2019_Jul_03_1058,MIT,3.1.2,59.942515128048754,
,,,,,,,,17.979440400000385,None,,,,,,,,,18.979178000000502,19.978939499999797,None,,18.979178000000502,None,,,,,,,,,
