1.4682 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
1.4712 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
2.5641 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001991DAACE48>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001991DABE828>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.5641 	EXP 	window1: recordFrameIntervals = False
2.7303 	EXP 	window1: recordFrameIntervals = True
2.9137 	EXP 	window1: recordFrameIntervals = False
2.9629 	EXP 	Created Fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
2.9768 	EXP 	Created Stimulus = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Stimulus', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Bodziec ', units='height', win=Window(...), wrapWidth=1)
2.9772 	EXP 	Created test_mean = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='test_mean', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='height', win=Window(...), wrapWidth=1)
2.9790 	EXP 	Created Fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
3.0031 	EXP 	Created Bodziec = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Bodziec', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
3.0064 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
3.0067 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
3.0068 	EXP 	New trial (rep=0, index=0): None
3.0122 	EXP 	Fixation: autoDraw = True
4.0133 	EXP 	Fixation: autoDraw = False
4.0133 	EXP 	Fixation: autoDraw = False
4.0133 	EXP 	Stimulus: autoDraw = True
6.0373 	DATA 	Keypress: space
6.0380 	EXP 	New trial (rep=1, index=0): None
6.0429 	EXP 	Stimulus: autoDraw = False
6.0429 	EXP 	Fixation: autoDraw = True
7.0458 	EXP 	Fixation: autoDraw = False
7.0458 	EXP 	Fixation: autoDraw = False
7.0458 	EXP 	Stimulus: autoDraw = True
9.0613 	DATA 	Keypress: space
9.0618 	EXP 	New trial (rep=2, index=0): None
9.0656 	EXP 	Stimulus: autoDraw = False
9.0656 	EXP 	Fixation: autoDraw = True
10.0784 	EXP 	Fixation: autoDraw = False
10.0784 	EXP 	Stimulus: autoDraw = True
12.0890 	DATA 	Keypress: space
12.0899 	EXP 	New trial (rep=3, index=0): None
12.0938 	EXP 	Stimulus: autoDraw = False
12.0938 	EXP 	Fixation: autoDraw = True
13.0944 	EXP 	Fixation: autoDraw = False
13.0944 	EXP 	Fixation: autoDraw = False
