test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.started,test_resp.stopped,test_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,6.790811800000029,None,7.799902900000006,8.799765500000149,None,7.799902900000006,None,,1,001,2019_Jul_03_0916,untitled,3.1.2,60.03445977992222,
1,0,1,0,9.799503600000207,None,10.799271100000169,None,space,10.799271100000169,None,0.6001509000000169,1,001,2019_Jul_03_0916,untitled,3.1.2,60.03445977992222,
2,0,2,0,11.415697800000089,None,12.415532200000143,None,space,12.415532200000143,None,0.466891300000043,1,001,2019_Jul_03_0916,untitled,3.1.2,60.03445977992222,
3,0,3,0,12.898674700000129,None,13.898485200000096,None,space,13.898485200000096,None,0.30025160000013784,1,001,2019_Jul_03_0916,untitled,3.1.2,60.03445977992222,
4,0,4,0,14.215012699999988,None,15.21478460000003,None,space,15.21478460000003,None,0.3003138999999919,1,001,2019_Jul_03_0916,untitled,3.1.2,60.03445977992222,
