test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,6.5116144999919925,None,return,0.7850309000059497,6.5116144999919925,None,,,,,,,,,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,60.1046783088943,
0,0,0,0,,,,,,,7.312922799988883,None,8.313906199997291,None,space,0.3510840999952052,8.313906199997291,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,60.1046783088943,
1,0,1,0,,,,,,,8.679777799989097,None,11.329043999998248,None,space,0.33508390000497457,11.329043999998248,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,60.1046783088943,
2,0,2,0,,,,,,,11.680355099990265,None,14.313157299999148,None,space,0.38415689999237657,14.313157299999148,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,60.1046783088943,
3,0,3,0,,,,,,,14.712943799997447,None,16.71217009999964,None,space,0.33465229999274015,16.71217009999964,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,60.1046783088943,
4,0,4,0,,,,,,,17.06237639999017,None,20.0609271999856,None,space,0.26740669998980593,20.0609271999856,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,60.1046783088943,
5,0,5,0,,,,,,,20.344244799998705,None,22.3436640999862,None,space,0.4187247999943793,22.3436640999862,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,60.1046783088943,
6,0,6,0,,,,,,,22.777943299995968,None,24.777255899985903,None,space,0.30131969999638386,24.777255899985903,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,60.1046783088943,
7,0,7,0,,,,,,,25.093605199988815,None,28.092862499994226,None,space,0.26899409999896307,28.092862499994226,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,60.1046783088943,
8,0,8,0,,,,,,,28.377222899987828,None,31.375491799990414,None,space,0.33520869999483693,31.375491799990414,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,60.1046783088943,
9,0,9,0,,,,,,,31.726104299988947,None,33.72461809999368,None,space,0.35111019999021664,33.72461809999368,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,60.1046783088943,
