test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trial_block_1.thisRepN,trial_block_1.thisTrialN,trial_block_1.thisN,trial_block_1.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,Inst_2.started,Inst_2.stopped,key_resp_inst_2.keys,key_resp_inst_2.rt,key_resp_inst_2.started,key_resp_inst_2.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,7.605160599996452,None,return,0.5289332000102149,7.605160599996452,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
0,0,0,0,,,,,,,,,,,8.150367099995492,None,10.166536199991242,None,10.649749599993811,None,space,0.25036679999902844,10.649749599993811,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
1,0,1,0,,,,,,,,,,,,,11.932687799999258,None,12.41599189999397,None,space,0.25030729999707546,12.41599189999397,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
2,0,2,0,,,,,,,,,,,,,13.699055399993085,None,14.18223880000005,None,space,0.28356900000653695,14.18223880000005,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
3,0,3,0,,,,,,,,,,,,,15.498671399996965,None,15.981845100002829,None,space,0.10099560000526253,15.981845100002829,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
4,0,4,0,,,,,,,,,,,,,17.114889599994058,None,17.59809569999925,None,space,0.18367670000588987,17.59809569999925,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
5,0,5,0,,,,,,,,,,,,,18.81446870000218,None,19.29769419999502,None,space,0.10049539999454282,19.29769419999502,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
6,0,6,0,,,,,,,,,,,,,20.43075109999336,None,20.91395809999085,None,space,0.417018599997391,20.91395809999085,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
7,0,7,0,,,,,,,,,,,,,22.36372009999468,None,22.84681649999402,None,space,0.28378779999911785,22.84681649999402,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
8,0,8,0,,,,,,,,,,,,,24.163241599992034,None,24.646387000000686,None,space,0.2003567999927327,24.646387000000686,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
9,0,9,0,,,,,,,,,,,,,25.87943119999545,None,26.362679699988803,None,space,0.15039579999574926,26.362679699988803,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
,,,,,,,,,,,,,,,,,,,,,,,,27.545734500003164,None,return,0.8837455999891972,27.545734500003164,None,,,,,,,,,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
,,,,0,0,0,0,,,,,,,30.16179209999973,None,29.461978099992848,None,,,,,,,,,,,,,29.945190500002354,None,space,0.2002685999905225,29.945190500002354,None,31.163649499998428,None,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
,,,,1,0,1,0,,,,,,,34.87735499998962,None,34.17746009999246,None,,,,,,,,,,,,,34.66067459998885,34.76075210000272,space,0.2004595999896992,34.66067459998885,None,35.87823119999666,None,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
,,,,2,0,2,0,,,,,,,41.375774200001615,None,38.89301239998895,None,,,,,,,,,,,,,39.376225699990755,39.55951900000218,None,,39.376225699990755,None,42.376513900002465,None,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
,,,,3,0,3,0,,,,,,,46.14147829999274,None,45.39152319999994,None,,,,,,,,,,,,,45.87476279999828,46.09145919998991,space,0.2503324999997858,45.87476279999828,None,47.143233800001326,None,1,001,2019_Jul_15_1540,MIT_Exp,3.1.2,60.018137484755286,
,,,,,,,,,,,,,,50.906883499992546,None,50.15708330000052,None,,,,,,,,,,,,,50.64041100000031,None,space,0.2501020000054268,50.64041100000031,None,,,,,,,,,
