test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trial_block_1.thisRepN,trial_block_1.thisTrialN,trial_block_1.thisN,trial_block_1.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,Inst_2.started,Inst_2.stopped,key_resp_inst_2.keys,key_resp_inst_2.rt,key_resp_inst_2.started,key_resp_inst_2.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,7.117750400000659,None,space,0.8404746000014711,7.117750400000659,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
0,0,0,0,,,,,,,,,,,7.9745702000000165,None,9.990663100001257,None,10.47392690000197,None,space,0.2833254999968631,10.47392690000197,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
1,0,1,0,,,,,,,,,,,,,11.790220900002168,None,12.273571500001708,None,space,0.300322099999903,12.273571500001708,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
2,0,2,0,,,,,,,,,,,,,13.606481099999655,None,14.089638199999172,None,space,0.28378910000174074,14.089638199999172,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
3,0,3,0,,,,,,,,,,,,,15.406164300002274,None,15.889177100001689,16.889009599999554,space,1.5834557000016503,15.889177100001689,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
4,0,4,0,,,,,,,,,,,,,18.505306300001394,None,18.988459299998794,19.988278500000888,space,1.8667051999982505,18.988459299998794,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
5,0,5,0,,,,,,,,,,,,,21.887818200000766,None,22.370978999999352,None,space,0.7167245999989973,22.370978999999352,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
6,0,6,0,,,,,,,,,,,,,24.120684900000924,None,24.604030700000294,None,space,0.2667408000015712,24.604030700000294,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
7,0,7,0,,,,,,,,,,,,,25.903651900000114,None,26.386785300001065,None,space,0.7168792999982543,26.386785300001065,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
8,0,8,0,,,,,,,,,,,,,28.1364324999995,None,28.619513800000277,None,space,0.8837835000013001,28.619513800000277,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
9,0,9,0,,,,,,,,,,,,,30.53573300000062,None,31.018901200000982,None,space,0.7336707000031311,31.018901200000982,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,,,,,,,,,,,,,,,,,,,,,32.78528759999972,None,space,0.6668494000005012,32.78528759999972,None,,,,,,,,,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,0,0,0,0,,,,,,,,,34.48491130000184,None,,,,,,,,,,,,,34.96797069999957,35.46786989999964,space,0.5173082000001159,34.96797069999957,None,35.52385789999971,None,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,1,0,1,0,,,,,,,,,38.517154299999675,None,,,,,,,,,,,,,39.000364399998944,None,space,0.0669921999979124,39.000364399998944,None,39.104604799998924,None,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,2,0,2,0,,,,,,,,,42.09967360000155,None,,,,,,,,,,,,,42.58284730000014,None,space,0.18373960000099032,42.58284730000014,None,42.803236200001265,None,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,3,0,3,0,,,,,,,,,45.79871009999988,None,,,,,,,,,,,,,46.28206680000221,None,space,0.18358699999953387,46.28206680000221,None,46.502246100000775,None,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,4,0,4,0,,,,,,,,,49.497796200001176,None,,,,,,,,,,,,,49.98101569999926,None,space,0.23387169999841717,49.98101569999926,None,50.25039029999971,None,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,5,0,5,0,,,,,,,,,53.24694630000158,None,,,,,,,,,,,,,53.730141600000934,None,space,0.28382739999869955,53.730141600000934,None,54.05268640000213,None,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,6,0,6,0,,,,,,,,,57.046543700002076,None,,,,,,,,,,,,,57.5292311000012,None,space,0.30029389999981504,57.5292311000012,None,57.86538859999928,None,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,7,0,7,0,,,,,,,,,60.86184670000148,None,,,,,,,,,,,,,61.34498850000091,61.84513059999881,space,0.7502233999985037,61.34498850000091,None,62.12974250000116,None,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,8,0,8,0,,,,,,,,,65.12742950000029,None,,,,,,,,,,,,,65.61057260000234,None,space,0.31719580000208225,65.61057260000234,None,65.96369910000067,None,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,9,0,9,0,,,,,,,,,68.95981440000105,None,,,,,,,,,,,,,69.44309359999897,None,space,0.16690810000000056,69.44309359999897,None,69.64672789999895,None,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,10,0,10,0,,,,,,,,,72.64226860000053,None,,,,,,,,,,,,,73.1254998000004,73.62562669999897,space,0.7334407000016654,73.1254998000004,None,73.89648930000112,None,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,11,0,11,0,,,,,,,,,76.89122370000041,None,,,,,,,,,,,,,77.37453830000231,77.87440920000154,space,0.8001818000011554,77.37453830000231,None,78.21190209999986,None,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,12,0,12,0,,,,,,,,,81.20688169999994,None,,,,,,,,,,,,,81.69009120000192,None,space,0.25023460000011255,81.69009120000192,None,81.97626980000132,None,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
,,,,13,0,13,0,,,,,,,,,84.9726593000014,None,,,,,,,,,,,,,85.45628260000012,85.95581210000091,space,0.766531400000531,85.45628260000012,None,86.26216090000162,None,1,001,2019_Jul_03_1333,untitled,3.1.2,59.82729057664181,
