test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.started,test_resp.stopped,test_mean.started,test_mean.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,4.149517900000319,None,5.16347339999993,None,None,5.16347339999993,None,,,,,,,,,001,2019_Jul_03_1011,untitled,3.1.2,60.001932062298934,
1,0,1,0,,,,,7.181315599999834,None,8.196306499999992,None,None,8.196306499999992,None,,,,,,,,,001,2019_Jul_03_1011,untitled,3.1.2,60.001932062298934,
2,0,2,0,,,,,10.226810199999818,None,11.228693400000338,None,None,11.228693400000338,None,,,,,,,,,001,2019_Jul_03_1011,untitled,3.1.2,60.001932062298934,
3,0,3,0,,,,,13.25623639999958,None,14.261302900000373,None,None,14.261302900000373,None,,,,,,,,,001,2019_Jul_03_1011,untitled,3.1.2,60.001932062298934,
4,0,4,0,,,,,16.274109699999826,None,17.277230800000325,None,None,17.277230800000325,None,,,,,,,,,001,2019_Jul_03_1011,untitled,3.1.2,60.001932062298934,
,,,,,,,,20.6764248999998,None,,,,,,19.294110499999988,None,21.67617280000013,23.675692200000412,None,21.67617280000013,23.675692200000412,,,,,,,
