test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,test_mean.started,test_mean.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,3.885770599999887,None,4.885274700000082,None,space,0.3344044000004942,4.885274700000082,None,,,,,,,,,,,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
1,0,1,0,,,,,5.236266999998406,None,6.234996699999101,None,space,0.35021710000000894,6.234996699999101,None,,,,,,,,,,,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
2,0,2,0,,,,,6.601649399999587,None,7.6014228999993065,None,space,0.3335365000002639,7.6014228999993065,None,,,,,,,,,,,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
3,0,3,0,,,,,7.952344799999992,None,8.951143199999933,None,space,0.3168580000001384,8.951143199999933,None,,,,,,,,,,,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
4,0,4,0,,,,,9.285384099999646,None,10.284010899998975,None,space,0.26700739999978396,10.284010899998975,None,,,,,,,,,,,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
,,,,0,0,0,0,11.950248699999065,None,,,,,,,10.568528799998603,None,12.950006399998529,None,space,0.31705609999880835,12.950006399998529,None,13.30595379999977,None,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
,,,,1,0,1,0,15.282769499999631,None,,,,,,,,,16.282536699998673,None,space,0.23372920000110753,16.282536699998673,None,16.552298799999335,None,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
,,,,2,0,2,0,18.532100299999,None,,,,,,,,,19.531843699998717,19.631749399999535,space,0.25012450000031095,19.531843699998717,None,19.81714959999954,None,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
,,,,3,0,3,0,21.797879699999612,None,,,,,,,,,22.797650099999373,22.980996199999936,space,0.2670521000000008,22.797650099999373,None,23.09861639999872,None,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
,,,,4,0,4,0,25.080461199999263,None,,,,,,,,,26.08022549999987,None,space,0.06695849999960046,26.08022549999987,None,26.1810620999986,None,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
,,,,5,0,5,0,28.163108400000056,None,,,,,,,,,29.162853599998925,None,space,0.26686030000018945,29.162853599998925,None,29.464972299998408,None,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
,,,,6,0,6,0,31.445549199999732,None,,,,,,,,,32.44528509999873,None,space,0.20042880000073637,32.44528509999873,None,32.68163730000015,None,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
,,,,7,0,7,0,34.66148879999855,None,,,,,,,,,35.66130729999895,35.82782210000005,space,0.25018119999913324,35.66130729999895,None,35.945683299998564,None,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
,,,,8,0,8,0,37.92753369999991,None,,,,,,,,,38.92757239999992,39.12727300000006,space,0.2832853999989311,38.92757239999992,None,39.246822499999325,None,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
,,,,9,0,9,0,41.2265026999994,None,,,,,,,,,42.22650889999932,42.37644689999979,space,0.38330630000018573,42.22650889999932,None,42.644040199998926,None,,001,2019_Jul_03_1209,MIT,3.1.2,60.15204029714442,
