test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,6.51917039998807,None,return,0.3887371000018902,6.51917039998807,None,,,,,,,,,1,001,2019_Aug_01_1322,MIT_Exp,3.1.2,60.77161722736983,
0,0,0,0,,,,,,,6.923437499994179,None,7.941125199999078,None,space,0.60135270000319,7.941125199999078,None,1,001,2019_Aug_01_1322,MIT_Exp,3.1.2,60.77161722736983,
1,0,1,0,,,,,,,8.558122699992964,None,10.940510399988852,None,space,0.4518837000068743,10.940510399988852,None,1,001,2019_Aug_01_1322,MIT_Exp,3.1.2,60.77161722736983,
2,0,2,0,,,,,,,11.40825359999144,None,13.940135699987877,None,space,0.3669303999922704,13.940135699987877,None,1,001,2019_Aug_01_1322,MIT_Exp,3.1.2,60.77161722736983,
3,0,3,0,,,,,,,14.323332599989953,None,16.32294899999397,None,space,0.3180398999975296,16.32294899999397,None,1,001,2019_Aug_01_1322,MIT_Exp,3.1.2,60.77161722736983,
4,0,4,0,,,,,,,16.65670059999684,None,19.654774399998132,None,space,0.2841698999982327,19.654774399998132,None,1,001,2019_Aug_01_1322,MIT_Exp,3.1.2,60.77161722736983,
5,0,5,0,,,,,,,19.95475789999182,None,21.955303199996706,None,space,0.3350103999982821,21.955303199996706,None,1,001,2019_Aug_01_1322,MIT_Exp,3.1.2,60.77161722736983,
6,0,6,0,,,,,,,22.30504989999463,None,25.303710799998953,None,space,0.26745990000199527,25.303710799998953,None,1,001,2019_Aug_01_1322,MIT_Exp,3.1.2,60.77161722736983,
7,0,7,0,,,,,,,25.587471999999252,None,28.58603249999578,None,space,0.3176510000048438,28.58603249999578,None,1,001,2019_Aug_01_1322,MIT_Exp,3.1.2,60.77161722736983,
8,0,8,0,,,,,,,28.919847199998912,None,31.91881079999439,None,space,0.31885009999678005,31.91881079999439,None,1,001,2019_Aug_01_1322,MIT_Exp,3.1.2,60.77161722736983,
9,0,9,0,,,,,,,32.25387459999183,None,34.93503999999666,None,space,0.30084009999700356,34.93503999999666,None,1,001,2019_Aug_01_1322,MIT_Exp,3.1.2,60.77161722736983,
