test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,9.744864800000187,None,10.753523200000018,None,space,0.31699079999998503,10.753523200000018,None,1,001,2019_Jul_03_0917,untitled,3.1.2,60.03175679934175,
1,0,1,0,11.086842200000092,None,12.086573000000044,None,space,0.3339445000001433,12.086573000000044,None,1,001,2019_Jul_03_0917,untitled,3.1.2,60.03175679934175,
2,0,2,0,12.436448100000007,None,13.43618460000016,None,space,0.30031239999993886,13.43618460000016,None,1,001,2019_Jul_03_0917,untitled,3.1.2,60.03175679934175,
3,0,3,0,13.752838399999973,None,14.752599300000156,None,space,0.3170316999999159,14.752599300000156,None,1,001,2019_Jul_03_0917,untitled,3.1.2,60.03175679934175,
4,0,4,0,15.085862300000144,None,16.08577080000009,None,space,0.2833402000001115,16.08577080000009,None,1,001,2019_Jul_03_0917,untitled,3.1.2,60.03175679934175,
