test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trial_block_1.thisRepN,trial_block_1.thisTrialN,trial_block_1.thisN,trial_block_1.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,Inst_2.started,Inst_2.stopped,key_resp_inst_2.keys,key_resp_inst_2.rt,key_resp_inst_2.started,key_resp_inst_2.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,End.started,End.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,10,0,10,0,,,,,,,,,66.67098149999947,None,,,,,,,,,,,,,67.15428319999774,None,space,0.11690050000106567,67.15428319999774,None,67.3074431999994,None,,,,,,,1,001,2019_Jul_03_1416,untitled,3.1.2,60.044805434653796,
,,,,11,0,11,0,,,,,,,,,70.30403680000018,None,,,,,,,,,,,,,70.7867202999987,70.92019669999718,space,0.31710739999834914,70.7867202999987,None,71.14091879999978,None,,,,,,,1,001,2019_Jul_03_1416,untitled,3.1.2,60.044805434653796,
,,,,12,0,12,0,,,,,,,,,74.13590130000011,None,,,,,,,,,,,,,74.61922199999754,74.76917209999738,space,0.18402810000043246,74.61922199999754,None,74.84045259999766,None,,,,,,,1,001,2019_Jul_03_1416,untitled,3.1.2,60.044805434653796,
,,,,13,0,13,0,,,,,,,,,77.83502099999896,None,,,,,,,,,,,,,78.31822029999967,78.48482890000014,space,0.166830399997707,78.31822029999967,None,78.52186199999778,None,,,,,,,1,001,2019_Jul_03_1416,untitled,3.1.2,60.044805434653796,
,,,,14,0,14,0,,,,,,,,,81.51752349999879,None,,,,,,,,,,,,,82.00055639999846,82.15058659999704,space,0.20036850000178674,82.00055639999846,None,82.23948569999993,None,,,,,,,1,001,2019_Jul_03_1416,untitled,3.1.2,60.044805434653796,
,,,,15,0,15,0,,,,,,,,,85.23320429999876,None,,,,,,,,,,,,,85.71649519999846,85.89982189999864,space,0.2503891999986081,85.71649519999846,None,86.0037513999996,None,,,,,,,1,001,2019_Jul_03_1416,untitled,3.1.2,60.044805434653796,
,,,,16,0,16,0,,,,,,,,,88.99911079999947,None,,,,,,,,,,,,,89.48217799999838,89.59879309999815,space,0.25029709999944316,89.48217799999838,None,89.76963949999845,None,,,,,,,1,001,2019_Jul_03_1416,untitled,3.1.2,60.044805434653796,
,,,,17,0,17,0,,,,,,,,,92.76467879999836,None,,,,,,,,,,,,,93.24815200000012,None,space,0.10019090000059805,93.24815200000012,None,93.38475089999702,None,,,,,,,1,001,2019_Jul_03_1416,untitled,3.1.2,60.044805434653796,
,,,,18,0,18,0,,,,,,,,,96.38052339999922,None,,,,,,,,,,,,,96.86369449999984,None,space,0.18397139999797218,96.86369449999984,None,97.08341189999919,None,,,,,,,1,001,2019_Jul_03_1416,untitled,3.1.2,60.044805434653796,
,,,,19,0,19,0,,,,,,,,,100.0801466999983,None,,,,,,,,,,,,,100.56284699999742,100.66282419999698,space,0.11730600000009872,100.56284699999742,None,100.71662999999899,None,,,,,,,1,001,2019_Jul_03_1416,untitled,3.1.2,60.044805434653796,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.71213709999938,None,space,0.9998984999983804,103.71213709999938,None,1,001,2019_Jul_03_1416,untitled,3.1.2,60.044805434653796,
