1.7131 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
5.0959 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
6.3341 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000227358F4048>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000227359425F8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.3342 	EXP 	window1: recordFrameIntervals = False
6.5005 	EXP 	window1: recordFrameIntervals = True
6.6838 	EXP 	window1: recordFrameIntervals = False
6.7374 	EXP 	Created Fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
6.7520 	EXP 	Created Stimulus = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Stimulus', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Bodziec ', units='height', win=Window(...), wrapWidth=1)
6.7524 	EXP 	Created test_mean = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='test_mean', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='height', win=Window(...), wrapWidth=1)
6.7541 	EXP 	Created Fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
6.7813 	EXP 	Created Bodziec = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Bodziec', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
6.7851 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
6.7853 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
6.7855 	EXP 	New trial (rep=0, index=0): None
6.7908 	EXP 	Fixation: autoDraw = True
7.2504 	DATA 	Keypress: space
7.7999 	EXP 	Fixation: autoDraw = False
7.7999 	EXP 	Fixation: autoDraw = False
7.7999 	EXP 	Stimulus: autoDraw = True
8.7998 	EXP 	Stimulus: autoDraw = False
9.7838 	EXP 	New trial (rep=1, index=0): None
9.7995 	EXP 	Stimulus: autoDraw = False
9.7995 	EXP 	Fixation: autoDraw = True
10.7993 	EXP 	Fixation: autoDraw = False
10.7993 	EXP 	Fixation: autoDraw = False
10.7993 	EXP 	Stimulus: autoDraw = True
11.3994 	DATA 	Keypress: space
11.4003 	EXP 	New trial (rep=2, index=0): None
11.4157 	EXP 	Stimulus: autoDraw = False
11.4157 	EXP 	Fixation: autoDraw = True
12.4155 	EXP 	Fixation: autoDraw = False
12.4155 	EXP 	Fixation: autoDraw = False
12.4155 	EXP 	Stimulus: autoDraw = True
12.8824 	DATA 	Keypress: space
12.8832 	EXP 	New trial (rep=3, index=0): None
12.8987 	EXP 	Stimulus: autoDraw = False
12.8987 	EXP 	Fixation: autoDraw = True
13.8985 	EXP 	Fixation: autoDraw = False
13.8985 	EXP 	Fixation: autoDraw = False
13.8985 	EXP 	Stimulus: autoDraw = True
14.1987 	DATA 	Keypress: space
14.1995 	EXP 	New trial (rep=4, index=0): None
14.2150 	EXP 	Stimulus: autoDraw = False
14.2150 	EXP 	Fixation: autoDraw = True
15.2148 	EXP 	Fixation: autoDraw = False
15.2148 	EXP 	Fixation: autoDraw = False
15.2148 	EXP 	Stimulus: autoDraw = True
15.5151 	DATA 	Keypress: space
15.5485 	EXP 	window1: mouseVisible = True
