1.6398 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
5.5125 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
6.5114 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001531473CEF0>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000015314792550>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.5114 	EXP 	window1: recordFrameIntervals = False
6.6776 	EXP 	window1: recordFrameIntervals = True
6.8610 	EXP 	window1: recordFrameIntervals = False
6.9106 	EXP 	Created Fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
6.9254 	EXP 	Created Stimulus = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Stimulus', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Bodziec ', units='height', win=Window(...), wrapWidth=1)
6.9258 	EXP 	Created test_mean = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='test_mean', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='height', win=Window(...), wrapWidth=1)
6.9276 	EXP 	Created Fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
6.9567 	EXP 	Created Bodziec = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Bodziec', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
6.9602 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
6.9605 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
6.9606 	EXP 	New trial (rep=0, index=0): None
6.9663 	EXP 	Fixation: autoDraw = True
7.9772 	EXP 	Fixation: autoDraw = False
7.9772 	EXP 	Stimulus: autoDraw = True
9.9892 	DATA 	Keypress: space
9.9899 	EXP 	New trial (rep=1, index=0): None
9.9936 	EXP 	Stimulus: autoDraw = False
9.9936 	EXP 	Fixation: autoDraw = True
11.0097 	EXP 	Fixation: autoDraw = False
11.0097 	EXP 	Stimulus: autoDraw = True
13.0171 	DATA 	Keypress: space
13.0182 	EXP 	New trial (rep=2, index=0): None
13.0221 	EXP 	Stimulus: autoDraw = False
13.0221 	EXP 	Fixation: autoDraw = True
14.0257 	EXP 	Fixation: autoDraw = False
14.0257 	EXP 	Fixation: autoDraw = False
14.0257 	EXP 	Stimulus: autoDraw = True
16.0495 	DATA 	Keypress: space
16.0505 	DATA 	Keypress: lctrl
16.0508 	DATA 	Keypress: ralt
16.0514 	EXP 	New trial (rep=3, index=0): None
16.0558 	EXP 	Stimulus: autoDraw = False
16.0558 	EXP 	Fixation: autoDraw = True
17.0584 	EXP 	Fixation: autoDraw = False
17.0584 	EXP 	Fixation: autoDraw = False
17.0584 	EXP 	Stimulus: autoDraw = True
19.0726 	DATA 	Keypress: space
19.0732 	EXP 	New trial (rep=4, index=0): None
19.0770 	EXP 	Stimulus: autoDraw = False
19.0770 	EXP 	Fixation: autoDraw = True
20.0910 	EXP 	Fixation: autoDraw = False
20.0910 	EXP 	Stimulus: autoDraw = True
22.1103 	DATA 	Keypress: space
22.1535 	EXP 	Stimulus: autoDraw = False
22.1535 	EXP 	test_mean: autoDraw = True
22.1535 	EXP 	test_mean: text = ''
24.1072 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
24.1074 	EXP 	New trial (rep=0, index=0): None
24.1234 	EXP 	test_mean: autoDraw = False
24.1234 	EXP 	test_mean: autoDraw = False
