test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2.6309416000003694,None,3.6433099000005313,None,space,0.2840649999998277,3.6433099000005313,None,,001,2019_Jul_03_1037,MIT,3.1.2,59.99469646882644,
1,0,1,0,3.943233200000577,None,4.943029000000024,None,space,0.3168822999996337,4.943029000000024,None,,001,2019_Jul_03_1037,MIT,3.1.2,59.99469646882644,
2,0,2,0,5.276265100000273,None,6.276076099999955,None,space,0.3169213999999556,6.276076099999955,None,,001,2019_Jul_03_1037,MIT,3.1.2,59.99469646882644,
3,0,3,0,6.609433999999965,None,7.609173400000145,None,space,0.4834261999994851,7.609173400000145,None,,001,2019_Jul_03_1037,MIT,3.1.2,59.99469646882644,
4,0,4,0,8.10890720000043,None,9.108662700000423,10.108424800000648,None,,9.108662700000423,None,,001,2019_Jul_03_1037,MIT,3.1.2,59.99469646882644,
