test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,test_mean.started,test_mean.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,3.870189000001119,None,4.876896600000691,None,space,0.283981099999437,4.876896600000691,None,,,,,,,,,,,,001,2019_Jul_03_1204,MIT,3.1.2,60.04617550908883,
1,0,1,0,,,,,5.176756099999693,None,6.1764469999998255,None,space,0.33373310000024503,6.1764469999998255,None,,,,,,,,,,,,001,2019_Jul_03_1204,MIT,3.1.2,60.04617550908883,
2,0,2,0,,,,,6.526496800001041,None,7.526199900001302,None,space,0.2668451000008645,7.526199900001302,None,,,,,,,,,,,,001,2019_Jul_03_1204,MIT,3.1.2,60.04617550908883,
3,0,3,0,,,,,7.809434000000692,None,8.809201800000665,None,space,0.28359180000006745,8.809201800000665,None,,,,,,,,,,,,001,2019_Jul_03_1204,MIT,3.1.2,60.04617550908883,
4,0,4,0,,,,,9.109298999999737,None,10.108840200000486,None,space,0.3669287999982771,10.108840200000486,None,,,,,,,,,,,,001,2019_Jul_03_1204,MIT,3.1.2,60.04617550908883,
,,,,0,0,0,0,11.875221399999646,None,,,,,,,10.493232300001182,None,12.874836500001038,None,space,0.33359089999976277,12.874836500001038,None,13.24692590000086,None,,001,2019_Jul_03_1204,MIT,3.1.2,60.04617550908883,
,,,,1,0,1,0,15.224312800000916,None,,,,,,,,,16.224029200000587,16.524532700001146,space,0.8501998000010644,16.224029200000587,None,17.110029999999824,None,,001,2019_Jul_03_1204,MIT,3.1.2,60.04617550908883,
,,,,2,0,2,0,19.090051700000913,None,,,,,,,,,20.089833,None,space,0.2668794000001071,20.089833,None,20.399928400000135,None,,001,2019_Jul_03_1204,MIT,3.1.2,60.04617550908883,
,,,,3,0,3,0,22.372609300000477,None,,,,,,,,,23.37240500000007,None,space,0.36685409999881813,23.37240500000007,None,23.77321370000027,None,,001,2019_Jul_03_1204,MIT,3.1.2,60.04617550908883,
,,,,4,0,4,0,25.755093900001157,None,,,,,,,,,26.754971100001057,27.088127099999838,space,0.600056900000709,26.754971100001057,None,27.388915700001235,None,,001,2019_Jul_03_1204,MIT,3.1.2,60.04617550908883,
