test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trial_block_1.thisRepN,trial_block_1.thisTrialN,trial_block_1.thisN,trial_block_1.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,Inst_2.started,Inst_2.stopped,key_resp_inst_2.keys,key_resp_inst_2.rt,key_resp_inst_2.started,key_resp_inst_2.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.692621599999256,None,return,1.52294979999715,8.692621599999256,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
0,0,0,0,,,,,,,,,,,10.231824999995297,None,12.248027699999511,None,12.73124110000208,None,space,0.13368420000188053,12.73124110000208,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
1,0,1,0,,,,,,,,,,,,,13.897633400003542,None,14.380857299998752,None,space,0.1670874000119511,14.380857299998752,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
2,0,2,0,,,,,,,,,,,,,15.580561900002067,None,16.06377710000379,None,space,0.4669315000064671,16.06377710000379,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
3,0,3,0,,,,,,,,,,,,,17.56344070000341,None,18.046712299998035,None,space,0.20033449999755248,18.046712299998035,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
4,0,4,0,,,,,,,,,,,,,19.279663299996173,None,19.76290689999587,None,space,0.15095589999691583,19.76290689999587,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
5,0,5,0,,,,,,,,,,,,,20.945951000001514,None,21.42917960000341,None,space,0.017028700007358566,21.42917960000341,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
6,0,6,0,,,,,,,,,,,,,22.478941599998507,None,22.962135499998112,None,space,0.21697610001137946,22.962135499998112,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
7,0,7,0,,,,,,,,,,,,,24.2118455000018,None,24.695046599998022,None,space,0.0003924000047845766,24.695046599998022,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
8,0,8,0,,,,,,,,,,,,,25.728142499996466,None,26.211367600000813,None,space,0.23364669999864418,26.211367600000813,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
9,0,9,0,,,,,,,,,,,,,27.47768700000597,None,27.960958600000595,None,space,0.233641799990437,27.960958600000595,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
,,,,,,,,,,,,,,,,,,,,,,,,29.227332399997977,None,return,1.0167279000015697,29.227332399997977,None,,,,,,,,,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
,,,,0,0,0,0,,,,,,,31.84740490000695,None,31.276807300004293,None,,,,,,,,,,,,,31.760025399998995,None,space,0.06710410000232514,31.760025399998995,None,None,None,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
,,,,1,0,1,0,,,,,,,34.680197000008775,None,33.87621050000598,None,,,,,,,,,,,,,34.3594155000028,34.64266720000887,space,0.300504800005001,34.3594155000028,None,None,None,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
,,,,2,0,2,0,,,,,,,37.529487799998606,None,36.70887020000373,None,,,,,,,,,,,,,37.1920792000019,37.47543150000274,space,0.31695849999960046,37.1920792000019,None,None,None,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
,,,,3,0,3,0,,,,,,,40.295779000007315,None,39.558244300002116,None,,,,,,,,,,,,,40.04138110000349,None,space,0.23368869999831077,40.04138110000349,None,None,None,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
,,,,4,0,4,0,,,,,,,43.07725600000413,None,42.324213100000634,None,,,,,,,,,,,,,42.807392600007006,None,space,0.2502946000022348,42.807392600007006,None,None,None,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
,,,,5,0,5,0,,,,,,,45.859920899994904,None,45.10704590000387,None,,,,,,,,,,,,,45.59008019999601,None,space,0.25037629999860656,45.59008019999601,None,None,None,1,001,2019_Jul_15_1452,MIT_Exp,3.1.2,60.00506442583391,
