test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.started,test_resp.stopped,test_mean.started,test_mean.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,3.5999461000001247,None,4.6147743000001356,None,None,4.6147743000001356,None,,,,,,,,,,,001,2019_Jul_03_1016,untitled,3.1.2,60.00747693169004,
1,0,1,0,,,,,6.638698499999919,None,7.647341300000335,None,None,7.647341300000335,None,,,,,,,,,,,001,2019_Jul_03_1016,untitled,3.1.2,60.00747693169004,
2,0,2,0,,,,,9.674360900000465,None,10.679920200000197,None,None,10.679920200000197,None,,,,,,,,,,,001,2019_Jul_03_1016,untitled,3.1.2,60.00747693169004,
3,0,3,0,,,,,12.691996499999732,None,13.69584440000017,None,None,13.69584440000017,None,,,,,,,,,,,001,2019_Jul_03_1016,untitled,3.1.2,60.00747693169004,
4,0,4,0,,,,,15.724356599999737,None,16.728474700000334,None,None,16.728474700000334,None,,,,,,,,,,,001,2019_Jul_03_1016,untitled,3.1.2,60.00747693169004,
,,,,0,0,0,0,20.144323299999996,None,,,,,,18.758796600000096,None,21.143989500000316,23.160165700000107,None,21.143989500000316,23.160165700000107,25.36188829999992,None,,001,2019_Jul_03_1016,untitled,3.1.2,60.00747693169004,
,,,,1,0,1,0,25.776303200000257,None,,,,,,,,26.7760731999997,None,None,26.7760731999997,None,28.890365700000075,None,,001,2019_Jul_03_1016,untitled,3.1.2,60.00747693169004,
,,,,2,0,2,0,30.775144799999907,None,,,,,,,,31.774850800000422,None,None,31.774850800000422,None,33.8955404999997,None,,001,2019_Jul_03_1016,untitled,3.1.2,60.00747693169004,
,,,,3,0,3,0,35.7738887000005,None,,,,,,,,36.77366400000028,None,None,36.77366400000028,None,38.88967580000008,None,,001,2019_Jul_03_1016,untitled,3.1.2,60.00747693169004,
,,,,4,0,4,0,40.77264060000016,None,,,,,,,,41.77254950000042,None,None,41.77254950000042,None,43.91501739999967,None,,001,2019_Jul_03_1016,untitled,3.1.2,60.00747693169004,
