test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.started,test_resp.stopped,test_mean.started,test_mean.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,6.9663040000000365,None,7.97723330000008,None,None,7.97723330000008,None,,,,,,,,1,001,2019_Jul_03_0922,untitled,3.1.2,60.05032216986494,
1,0,1,0,,,,,9.993627600000309,None,11.009740800000145,None,None,11.009740800000145,None,,,,,,,,1,001,2019_Jul_03_0922,untitled,3.1.2,60.05032216986494,
2,0,2,0,,,,,13.022062400000323,None,14.025706599999921,None,None,14.025706599999921,None,,,,,,,,1,001,2019_Jul_03_0922,untitled,3.1.2,60.05032216986494,
3,0,3,0,,,,,16.055838600000243,None,17.058365599999888,None,None,17.058365599999888,None,,,,,,,,1,001,2019_Jul_03_0922,untitled,3.1.2,60.05032216986494,
4,0,4,0,,,,,19.07701780000025,None,20.090979600000082,None,None,20.090979600000082,None,,,,,,,,1,001,2019_Jul_03_0922,untitled,3.1.2,60.05032216986494,
,,,,,,,,24.123361599999953,None,,,,,,22.15350350000017,None,25.123118200000135,None,None,25.123118200000135,None,,,,,,,
