test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,test_mean.started,test_mean.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2.7835556999998516,None,3.7944526999999653,None,space,0.5839084999997795,3.7944526999999653,None,,,,,,,,,,,,001,2019_Jul_03_1055,MIT,3.1.2,59.884219849514075,
1,0,1,0,,,,,4.394127699999444,None,5.394026799999665,6.393806399999448,space,1.1172040000001289,5.394026799999665,None,,,,,,,,,,,,001,2019_Jul_03_1055,MIT,3.1.2,59.884219849514075,
2,0,2,0,,,,,6.5272197999993296,None,7.527089999999589,None,space,0.3335650999997597,7.527089999999589,None,,,,,,,,,,,,001,2019_Jul_03_1055,MIT,3.1.2,59.884219849514075,
3,0,3,0,,,,,7.8767250999999305,None,8.876514699999461,None,space,0.33367420000013226,8.876514699999461,None,,,,,,,,,,,,001,2019_Jul_03_1055,MIT,3.1.2,59.884219849514075,
4,0,4,0,,,,,9.226388799999768,None,10.226208600000064,None,space,0.21673220000047877,10.226208600000064,None,,,,,,,,,,,,001,2019_Jul_03_1055,MIT,3.1.2,59.884219849514075,
,,,,0,0,0,0,11.84241529999963,None,,,,,,,10.459366499999305,None,12.842167799999515,None,space,0.2502799000003506,12.842167799999515,None,13.13210429999981,None,,001,2019_Jul_03_1055,MIT,3.1.2,59.884219849514075,
,,,,1,0,1,0,15.10893809999925,None,,,,,,,,,16.108394099999714,None,space,0.2506514000006064,16.108394099999714,None,16.393690199999583,None,,001,2019_Jul_03_1055,MIT,3.1.2,59.884219849514075,
,,,,2,0,2,0,18.37418979999984,None,,,,,,,,,19.373903799999425,None,space,0.18383610000000772,19.373903799999425,None,19.59319179999966,None,,001,2019_Jul_03_1055,MIT,3.1.2,59.884219849514075,
,,,,3,0,3,0,21.573534399999517,None,,,,,,,,,22.573163199999726,None,space,0.28376810000008845,22.573163199999726,None,22.89223729999958,None,,001,2019_Jul_03_1055,MIT,3.1.2,59.884219849514075,
,,,,4,0,4,0,24.872542999999496,None,,,,,,,,,25.872345799999493,None,space,0.2502518000001146,25.872345799999493,None,26.15869719999955,None,,001,2019_Jul_03_1055,MIT,3.1.2,59.884219849514075,
