test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,test_mean.started,test_mean.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,3.6900712000006024,None,4.7046080000000075,None,space,0.24987850000070466,4.7046080000000075,None,,,,,,,,,,,,001,2019_Jul_03_1104,MIT,3.1.2,60.02736047068742,
1,0,1,0,,,,,4.970836700000291,None,5.970659100001285,None,space,0.3002308000013727,5.970659100001285,None,,,,,,,,,,,,001,2019_Jul_03_1104,MIT,3.1.2,60.02736047068742,
2,0,2,0,,,,,6.287122300000192,None,7.286914600001182,None,space,0.30009830000017246,7.286914600001182,None,,,,,,,,,,,,001,2019_Jul_03_1104,MIT,3.1.2,60.02736047068742,
3,0,3,0,,,,,7.603576999999859,None,8.603574300001128,None,space,0.2666804000000411,8.603574300001128,None,,,,,,,,,,,,001,2019_Jul_03_1104,MIT,3.1.2,60.02736047068742,
4,0,4,0,,,,,8.886581800001295,None,9.886518200000864,None,space,0.3007865999989008,9.886518200000864,None,,,,,,,,,,,,001,2019_Jul_03_1104,MIT,3.1.2,60.02736047068742,
,,,,0,0,0,0,11.586027600000307,None,,,,,,,10.203141300000425,None,12.585805000000619,None,space,0.2833820999985619,12.585805000000619,None,12.94766990000062,None,,001,2019_Jul_03_1104,MIT,3.1.2,60.02736047068742,
,,,,1,0,1,0,14.885266900000715,None,,,,,,,,,15.885064000000057,16.8849564000011,None,,15.885064000000057,None,17.905616400001236,None,,001,2019_Jul_03_1104,MIT,3.1.2,60.02736047068742,
,,,,2,0,2,0,19.884059800000614,None,,,,,,,,,20.88376310000058,21.883490100000927,space,1.283199199999217,20.88376310000058,None,22.20516050000151,None,,001,2019_Jul_03_1104,MIT,3.1.2,60.02736047068742,
,,,,3,0,3,0,24.183028800000102,None,,,,,,,,,25.182703800001036,26.182510800001182,space,1.250137499999255,25.182703800001036,None,26.469312600000194,None,,001,2019_Jul_03_1104,MIT,3.1.2,60.02736047068742,
,,,,4,0,4,0,28.448526900001525,None,,,,,,,,,29.448280800001157,None,space,0.26714670000001206,29.448280800001157,None,29.750962800000707,None,,001,2019_Jul_03_1104,MIT,3.1.2,60.02736047068742,
